Circuit ,MMR A,<>,MMR Z,Cassette,Port,<>,151 A,Cassette,Port,<>,151 Z,Cassette,Port,<>,120 A,Cassette,Port,<>,120 Z,Cassette ,Port,<>,160 A,Cassette,Port,<>,Location,Nokia Port ,Notes 
OPEN,,<>,MMR164.R5.RU16,B,5/6,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
OPEN,,<>,MMR164.R5.RU16,B,7/8,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
OPEN,,<>,MMR164.R5.RU16,B,9/10,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
OPEN,,<>,MMR164.R5.RU16,B,11/12,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
OPEN,,<>,MMR164.R5.RU16,B,13/14,<>,DH151 CAB34 RU40,A,13/14,<>,,,,<>,dh120.266.38,D,9/10,<>,,B,9/10,<>,dh160.26.38,D,,<>,dh160.2.38,C21,
OPEN,,<>,MMR164.R5.RU16,B,15/16,<>,DH151 CAB34 RU40,A,15/16,<>,,,,<>,dh120.266.38,D,11/12,<>,,B,11/12,<>,dh160.26.38,D,,<>,dh160.2.38,C22,
OPEN,,<>,MMR164.R5.RU16,B,17/18,<>,DH151 CAB34 RU40,A,17/18,<>,,,,<>,dh120.266.38,D,13/14,<>,,B,13/14,<>,dh160.26.38,D,,<>,dh160.2.38,C23,
OPEN,,<>,MMR164.R5.RU16,B,19/20,<>,DH151 CAB34 RU40,A,19/20,<>,,,,<>,dh120.266.38,D,15/16,<>,,B,15/16,<>,dh160.26.38,D,,<>,dh160.2.38,C24,
OPEN,,<>,MMR164.R5.RU16,B,21/22,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
OPEN,,<>,MMR164.R5.RU16,B,23/24,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUYX/421081//ZYO  ,MMR ISP PP,<>,MMR CW PP,,,<>,DH151 CAB34 RU40 MMR,A,17/18,<>,,,,<>,DH120.R10.U43,C,15/16,<>,,A,13/14,<>,dh160.26.38,A,,<>,dh160.1.28,c36,
OUYX/421082//ZYO  ,MMR ISP PP,<>,MMR CW PP,,,<>,DH151 CAB34 RU40 MMR,A,19/20,<>,,,,<>,DH120.R10.U43,C,17/18,<>,,A,15/16,<>,dh160.26.38,A,,<>,dh160.2.28,c35,
